"METHOD_CONSTRUCTION_ID","BORE_HOLE_ID","WELL_ID","METHOD_CONSTRUCTION_CODE","OTHER_METHOD_CONSTRUCTION"
961500064,10022109,"1500064","1",
961500065,10022110,"1500065","1",
961500066,10022111,"1500066","1",
961500067,10022112,"1500067","1",
961500068,10022113,"1500068","1",
961500069,10022114,"1500069","1",
961500070,10022115,"1500070","1",
961500071,10022116,"1500071","1",
961500072,10022117,"1500072","1",
961500073,10022118,"1500073","7",
961500074,10022119,"1500074","1",
961500075,10022120,"1500075","1",
961500076,10022121,"1500076","1",
961500077,10022122,"1500077","1",
961500078,10022123,"1500078","1",
961500079,10022124,"1500079","1",
961500080,10022125,"1500080","1",
961500081,10022126,"1500081","1",
961500082,10022127,"1500082","1",
961500083,10022128,"1500083","1",
961500084,10022129,"1500084","7",
961500085,10022130,"1500085","1",
961500086,10022131,"1500086","1",
961500087,10022132,"1500087","1",
961500088,10022133,"1500088","1",
961500089,10022134,"1500089","1",
961500090,10022135,"1500090","1",
961500091,10022136,"1500091","1",
961500092,10022137,"1500092","1",
961500093,10022138,"1500093","1",
961500094,10022139,"1500094","1",
961500095,10022140,"1500095","1",
961500096,10022141,"1500096","1",
961500097,10022142,"1500097","1",
961500098,10022143,"1500098","1",
961500099,10022144,"1500099","1",
961500100,10022145,"1500100","1",
961500101,10022146,"1500101","1",
961500102,10022147,"1500102","1",
961500103,10022148,"1500103","1",
961500104,10022149,"1500104","1",
961500105,10022150,"1500105","1",
961500106,10022151,"1500106","1",
961500107,10022152,"1500107","1",
961500108,10022153,"1500108","1",
961500109,10022154,"1500109","1",
961500110,10022155,"1500110","1",
961500111,10022156,"1500111","1",
961500112,10022157,"1500112","1",
961500113,10022158,"1500113","1",
961500114,10022159,"1500114","1",
961500115,10022160,"1500115","1",
961500116,10022161,"1500116","1",
961500117,10022162,"1500117","1",
961500118,10022163,"1500118","1",
961500119,10022164,"1500119","1",
961500120,10022165,"1500120","1",
961500121,10022166,"1500121","1",
961500122,10022167,"1500122","1",
961500123,10022168,"1500123","1",
961500124,10022169,"1500124","1",
961500125,10022170,"1500125","7",
961500126,10022171,"1500126","1",
961500127,10022172,"1500127","1",
961500128,10022173,"1500128","7",
961500129,10022174,"1500129","1",
961500130,10022175,"1500130","1",
961500131,10022176,"1500131","1",
961500132,10022177,"1500132","1",
961500133,10022178,"1500133","1",
961500134,10022179,"1500134","1",
961500135,10022180,"1500135","1",
961500136,10022181,"1500136","7",
961500137,10022182,"1500137","1",
961500138,10022183,"1500138","1",
961500139,10022184,"1500139","1",
961500140,10022185,"1500140","1",
